query_id,query_class,sample,contig,start,end,context,scenario,cache_mode,http_cache_policy,decoder,browser,total_ms,open_ms,query_ms,actual_requests,actual_bytes,actual_unique_bytes,actual_duplicate_bytes,actual_request_rounds,reader_observed_requests,reader_observed_bytes,source_origin_reconciled,planned_requests,planned_bytes,dependency_rounds,bootstrap_cache_hits,directory_cache_hits,payload_cache_hits,decompression_ms,decompression_p50_ms,decompression_p95_ms,integrity_ms,decompression_wall_ms,decompression_task_ms,decode_ms,merge_ms,selected_chunks,selected_nodes,selected_traversals,canonical_hash,expected_canonical_hash,correctness,error
random-1000-00003,random-1000,CHM13,chr16,35378588,35379588,100,cold-library,cold,default,wasm,,287.52250600000116,0.7847150000015972,286.73779099999956,2,40880,40880,0,,2,40880,true,4,72121,4,1,0,0,0.2885339999993448,0.2885339999993448,0.2885339999993448,0.8586149999973713,0.29244499999913387,0.29244499999913387,281.70640899999853,2.8518049999984214,1,75,472,c4dbf6aff5252ae1c14c0c9b6e19c17986bce2b79cf1eddab002bdb35ad69957,c4dbf6aff5252ae1c14c0c9b6e19c17986bce2b79cf1eddab002bdb35ad69957,true,
random-1000-00004,random-1000,GRCh38,chr1_KI270707v1_random,30368,31368,100,cold-library,cold,default,wasm,,1.7177589999992051,0.9631509999999253,0.7546079999992799,2,9818,9818,0,,2,9818,true,4,41059,4,1,0,0,0.11122799999793642,0.11122799999793642,0.11122799999793642,0.1510359999992943,0.11495899999863468,0.11495899999863468,0.10483799999929033,0.05241000000023632,1,2,0,699e7176f8e7f615eb65b261b56f271c57c4474bf5d2165f4e6307d927422a2c,699e7176f8e7f615eb65b261b56f271c57c4474bf5d2165f4e6307d927422a2c,true,
random-1000-00005,random-1000,CHM13,chr2,94822968,94823968,100,cold-library,cold,default,wasm,,6433.983221999999,0.6898469999978261,6433.293375000001,2,402128,402128,0,,2,402128,true,4,433369,4,1,0,0,4.050723000000289,4.050723000000289,4.050723000000289,15.30141999999978,4.061037999999826,4.061037999999826,6294.619345000003,68.14163800000097,1,4230,277,79ad6c4c0d0a5afae31b442da9450d6548c0d2d66dfc4baad9dcfcd97e0321cf,79ad6c4c0d0a5afae31b442da9450d6548c0d2d66dfc4baad9dcfcd97e0321cf,true,
random-1000-00006,random-1000,GRCh38,chrUn_KI270757v1,38740,39740,100,cold-library,cold,default,wasm,,1.5616529999970226,0.8383079999985057,0.7233449999985169,2,7800,7800,0,,2,7800,true,4,39041,4,1,0,0,0.059407000000646804,0.059407000000646804,0.059407000000646804,0.10260700000071665,0.0629320000007283,0.0629320000007283,0.15159000000130618,0.05661400000099093,1,2,0,450490f3cc84309b64291895f5c20479736f587b4f3c9e6c9c8c3f6d5d0cdf07,450490f3cc84309b64291895f5c20479736f587b4f3c9e6c9c8c3f6d5d0cdf07,true,
random-1000-00007,random-1000,GRCh38,chrUn_KI270429v1,79,1079,100,cold-library,cold,default,wasm,,1.0719170000011218,0.6305839999986347,0.4413330000024871,2,4649,4649,0,,2,4649,true,4,35890,4,1,0,0,0.08163100000092527,0.08163100000092527,0.08163100000092527,0.02536099999997532,0.08523299999797018,0.08523299999797018,0.04022900000563823,0.02107599999726517,1,2,0,086b9937be2ff8bb0485c19aeb578dbbab84372701797a30f3a3a0336b854b53,086b9937be2ff8bb0485c19aeb578dbbab84372701797a30f3a3a0336b854b53,true,
random-1000-00008,random-1000,GRCh38,chrUn_KI270333v1,1360,2360,100,cold-library,cold,default,wasm,,0.9381869999997434,0.5939870000001974,0.344199999999546,2,4691,4691,0,,2,4691,true,4,35932,4,1,0,0,0.023723999998765066,0.023723999998765066,0.023723999998765066,0.02614299999549985,0.026820999999472406,0.026820999999472406,0.03404700000101002,0.023054000004776753,1,2,0,cf4745fc5d8ea7df84d65d300d52f17e0c4f7f2c7f4a86af5ef27aa631ad5649,cf4745fc5d8ea7df84d65d300d52f17e0c4f7f2c7f4a86af5ef27aa631ad5649,true,
random-1000-00009,random-1000,CHM13,chr21,31136057,31137057,100,cold-library,cold,default,wasm,,84.73561399999744,0.5502899999992223,84.18532399999822,2,27474,27474,0,,2,27474,true,4,58715,4,1,0,0,0.16997499999706633,0.16997499999706633,0.16997499999706633,0.5880869999964489,0.1730630000020028,0.1730630000020028,81.90348600000289,1.1094499999962864,1,26,251,6a6c75af87b20d8fb56b1fb71ddefa3d485ef2f893907461e08863b9f6c98238,6a6c75af87b20d8fb56b1fb71ddefa3d485ef2f893907461e08863b9f6c98238,true,
random-10000-00000,random-10000,GRCh38,chrUn_KI270745v1,11145,21145,100,cold-library,cold,default,wasm,,3.7288730000000214,0.669822000003478,3.0590509999965434,2,19313,19313,0,,2,19313,true,4,50554,4,1,0,0,0.24247699999978067,0.08834100000240142,0.15413599999737926,0.40331699999660486,0.15856799999892246,0.24986099999659928,1.3682649999973364,0.5445930000059889,2,11,4,8707f76334f8e152b9a39a39d699d77a00f4e30a413d7f415c9394dfb8fe52ea,8707f76334f8e152b9a39a39d699d77a00f4e30a413d7f415c9394dfb8fe52ea,true,
random-10000-00001,random-10000,CHM13,chr4,6103196,6113196,100,cold-library,cold,default,wasm,,276.1915960000042,0.6907420000061393,275.50085399999807,2,58878,58878,0,,2,58878,true,4,90119,4,1,0,0,0.5733669999972335,0.18816700000024866,0.38519999999698484,1.3012969999981578,0.3898330000010901,0.5809399999998277,265.2486960000024,5.510742999998911,2,503,578,fc2c83fca3ec159599e6baaea431481f0422608484145397286d6c395e24f2ee,fc2c83fca3ec159599e6baaea431481f0422608484145397286d6c395e24f2ee,true,
random-10000-00002,random-10000,GRCh38,chr17_GL000205v2_random,65647,75647,100,cold-library,cold,default,wasm,,15.932731999993848,0.7181619999973918,15.214569999996456,2,31420,31420,0,,2,31420,true,4,62661,4,1,0,0,0.23722199999610893,0.23722199999610893,0.23722199999610893,0.6683219999977155,0.24121500000183005,0.24121500000183005,5.9731360000005225,4.366199999996752,1,743,6,c652c457b611fea70814d8af353d8da35d562d517bc4a5e952048125f520fe28,c652c457b611fea70814d8af353d8da35d562d517bc4a5e952048125f520fe28,true,
random-10000-00003,random-10000,CHM13,chrX,149714910,149724910,100,cold-library,cold,default,wasm,,119.37900000000081,0.6760989999966114,118.7029010000042,2,46117,46117,0,,2,46117,true,4,77358,4,1,0,0,0.5029750000030617,0.1753610000014305,0.3276140000016312,1.0551380000033532,0.33242100000643404,0.5109620000002906,111.30448800000158,3.1929289999970933,2,458,383,2c56f1044cc1aa9d04830d4e6660ea5e98d292ce1869f3911745e77e8176009d,2c56f1044cc1aa9d04830d4e6660ea5e98d292ce1869f3911745e77e8176009d,true,
random-10000-00004,random-10000,CHM13,chr14,90547485,90557485,100,cold-library,cold,default,wasm,,150.26001800000085,0.6824909999995725,149.57752700000128,2,46386,46386,0,,2,46386,true,4,77627,4,1,0,0,0.4406120000057854,0.1346590000030119,0.3059530000027735,1.061028999996779,0.31000800000038,0.44738499999948544,143.1643949999998,2.740323999998509,2,332,376,36cdbcc2ac965056f43dcdf4d0ba23303dd78aeae8e2f968b8363a0823741f59,36cdbcc2ac965056f43dcdf4d0ba23303dd78aeae8e2f968b8363a0823741f59,true,
random-10000-00005,random-10000,CHM13,chr20,30845366,30855366,100,cold-library,cold,default,wasm,,314.35032100000535,0.6636810000054538,313.6866399999999,2,66191,66191,0,,2,66191,true,4,97432,4,1,0,0,0.7381279999972321,0.24158799999713665,0.49654000000009546,1.6205550000086077,0.5017870000010589,0.7468980000048759,300.94085699999414,6.080665000001318,2,808,401,ed5c146bdcfde28926c88eb30722d47a9149fe1c62a9a5d8096b942cce2ba8d9,ed5c146bdcfde28926c88eb30722d47a9149fe1c62a9a5d8096b942cce2ba8d9,true,
random-10000-00006,random-10000,CHM13,chr7,73437418,73447418,100,cold-library,cold,default,wasm,,140.88693200000125,1.278796999999031,139.60813500000222,2,32642,32642,0,,2,32642,true,4,63883,4,1,0,0,0.2194549999985611,0.2194549999985611,0.2194549999985611,0.6854400000011083,0.22332599999936065,0.22332599999936065,131.42011400000047,3.8915479999996023,1,577,236,4fa0e2a1cc8cc941fa95145ae16e6e8352116b5ab8ddf1f0653186152f156018,4fa0e2a1cc8cc941fa95145ae16e6e8352116b5ab8ddf1f0653186152f156018,true,
random-10000-00007,random-10000,CHM13,chr15,54267574,54277574,100,cold-library,cold,default,wasm,,122.04321499999787,0.6142909999980475,121.42892399999982,2,30543,30543,0,,2,30543,true,4,61784,4,1,0,0,0.19132299999910174,0.19132299999910174,0.19132299999910174,0.6294290000005276,0.19442400000116322,0.19442400000116322,115.41612700000405,2.331023999999161,1,405,295,229330d366bf5e40a1af5cf2bd38cb0d8b11022a26c176144ed786ad704f64e4,229330d366bf5e40a1af5cf2bd38cb0d8b11022a26c176144ed786ad704f64e4,true,
random-10000-00008,random-10000,GRCh38,chr13,106423015,106433015,100,cold-library,cold,default,wasm,,207.67405699999654,1.19622199999867,206.47783499999787,2,56901,56901,0,,2,56901,true,4,88142,4,1,0,0,0.5215190000017174,0.16459100000065519,0.3569280000010622,1.287308999999368,0.36307700000179466,0.5317520000025979,198.943591999996,3.1961389999996754,2,398,426,1c5c619b4d174cc68ed4f1b8fc104dd6c2abfe11aab03eea26e699b2aad07497,1c5c619b4d174cc68ed4f1b8fc104dd6c2abfe11aab03eea26e699b2aad07497,true,
random-10000-00009,random-10000,CHM13,chrX,37036197,37046197,100,cold-library,cold,default,wasm,,72.08939400000236,0.6860969999979716,71.40329700000439,2,34250,34250,0,,2,34250,true,4,65491,4,1,0,0,0.3334859999959008,0.09617599999910453,0.23730999999679625,0.7322360000034678,0.2423209999979008,0.34185099999740487,66.7824049999981,1.8019820000045002,2,263,180,2ca8533a04d7b57ffc7e6c770813e93bed35b41c3f63329bf3c17cc861dc8b47,2ca8533a04d7b57ffc7e6c770813e93bed35b41c3f63329bf3c17cc861dc8b47,true,
random-100000-00000,random-100000,GRCh38,chr11_KI270721v1_random,56,100056,100,cold-library,cold,default,wasm,,6.058325000005425,0.6645229999994626,5.393802000005962,2,41729,41729,0,,2,41729,true,4,72970,4,1,0,0,1.3241290000005392,0.18604799999593524,0.3659250000055181,0.9645649999874877,0.37424599999940256,1.3668869999964954,0.38189299999794457,0.6191790000011679,7,98,0,df8875a37ae0dbf44643714796932b828847dfda761b936e13d2ef89168f58b3,df8875a37ae0dbf44643714796932b828847dfda761b936e13d2ef89168f58b3,true,
random-100000-00001,random-100000,CHM13,chr9,43843214,43943214,100,cold-library,cold,default,wasm,,2861.7528289999973,0.6707539999988512,2861.0820749999984,2,481072,481072,0,,2,481072,true,4,512313,4,1,0,0,15.913177000009455,1.7703010000041104,3.506076999998186,12.073610999992525,3.5212529999989783,15.997605999997177,2645.9673449999973,125.51316199999565,8,14006,2363,6d7a94c925a691295c70ce6bfd9ac0dd997cf568b034771d83a9871463f62e7a,6d7a94c925a691295c70ce6bfd9ac0dd997cf568b034771d83a9871463f62e7a,true,
random-100000-00002,random-100000,GRCh38,chr1_KI270712v1_random,22782,122782,100,cold-library,cold,default,wasm,,32.833653000001505,8.045885999999882,24.787767000001622,2,66921,66921,0,,2,66921,true,4,98162,4,1,0,0,2.1348570000045584,0.25174800000240793,0.5769270000018878,1.6505570000153966,0.5850609999979497,2.175885999997263,5.732857999988482,6.158446000001277,7,1456,4,c123581b0061580207d2fbe8e32d1cf84ce97fb03693e6659cb465303ecafca0,c123581b0061580207d2fbe8e32d1cf84ce97fb03693e6659cb465303ecafca0,true,
random-100000-00003,random-100000,GRCh38,chr17_KI270729v1_random,38440,138440,100,cold-library,cold,default,wasm,,10.18517100000463,2.0098890000008396,8.17528200000379,2,36506,36506,0,,2,36506,true,4,67747,4,1,0,0,1.4112010000098962,0.2047420000017155,0.3677129999996396,0.9119960000098217,0.3765599999969709,1.4560119999950984,0.39702000000397675,0.48487500000192085,7,99,0,2e84c6b30a5fd85fd6ae695bb75f58c6de93608b0c27f7143559c7e4fae1e72c,2e84c6b30a5fd85fd6ae695bb75f58c6de93608b0c27f7143559c7e4fae1e72c,true,
random-100000-00004,random-100000,GRCh38,chr22,30407484,30507484,100,cold-library,cold,default,wasm,,860.0125499999995,0.8196140000000014,859.1929359999995,2,196383,196383,0,,2,196383,true,4,227624,4,1,0,0,6.082910999997694,0.6677179999969667,1.321816999996372,4.886830999996164,1.3311959999991814,6.136294000003545,809.3949589999975,22.772879999996803,8,4091,1706,049b551868bc0108b2a20642df9aac9dde415a4e0b320cb011088e5c17b80311,049b551868bc0108b2a20642df9aac9dde415a4e0b320cb011088e5c17b80311,true,
random-100000-00005,random-100000,GRCh38,chr2_KI270715v1_random,46409,146409,100,cold-library,cold,default,wasm,,4.982079999994312,0.765914999996312,4.216164999998,2,13331,13331,0,,2,13331,true,4,44572,4,1,0,0,0.7910730000076001,0.11166699999739649,0.20127599999977974,0.28338600000279257,0.21026700000220444,0.8362379999962286,0.38973100000293925,0.46359300000040093,7,99,0,70798628350f5919b7d4323da19a9bcf11cb39dc6f58540ff468b228d8c2994a,70798628350f5919b7d4323da19a9bcf11cb39dc6f58540ff468b228d8c2994a,true,
random-100000-00006,random-100000,CHM13,chr11,55470689,55570689,100,cold-library,cold,default,wasm,,1221.043399000002,0.597754000002169,1220.4456449999998,2,243368,243368,0,,2,243368,true,4,274609,4,1,0,0,6.74493800001801,0.9536220000009052,1.784181000002718,5.697116000010283,1.7939269999988028,6.79367299999285,1137.3305290000208,42.75845500000287,7,7094,1608,bef188b88995a8209bc1db86109ead91afec7e633bfea2f12fd620c9771509bc,bef188b88995a8209bc1db86109ead91afec7e633bfea2f12fd620c9771509bc,true,
random-100000-00007,random-100000,CHM13,chr1,145220434,145320434,100,cold-library,cold,default,wasm,,359.71727599999576,3.0530309999958263,356.66424499999994,2,277933,277933,0,,2,277933,true,4,309174,4,1,0,0,6.389948000003642,0.6016009999948437,2.1821710000003804,6.53847999998834,2.195052000002761,6.45182000000932,269.03728999999294,40.11018799999874,7,7224,2565,a62555ea19f3a75b5890e06874084116f73d31cec5778a6075221b584ec19702,a62555ea19f3a75b5890e06874084116f73d31cec5778a6075221b584ec19702,true,
random-100000-00008,random-100000,GRCh38,chr4,133689934,133789934,100,cold-library,cold,default,wasm,,739.452317000003,0.9148210000057588,738.5374959999972,2,168785,168785,0,,2,168785,true,4,200026,4,1,0,0,4.99886599999445,0.7076069999966421,1.3072460000039428,7.706396000001405,1.3182979999983218,5.057939999984228,681.0072400000063,26.28299700000207,7,4190,1381,3c48827fcfba9cd66de84f81ce44f647526df91c8fe69aee6f12c9e71b9065e6,3c48827fcfba9cd66de84f81ce44f647526df91c8fe69aee6f12c9e71b9065e6,true,
random-100000-00009,random-100000,CHM13,chr1,142389872,142489872,100,cold-library,cold,default,wasm,,719.8543939999945,0.7965819999953965,719.0578119999991,2,208516,208516,0,,2,208516,true,4,239757,4,1,0,0,5.64456799999607,0.7977079999982379,1.4511749999946915,5.134163000009721,1.4621179999958258,5.697762999989209,646.162504999993,40.12272099999973,7,5888,1790,c341217f83e1b126b46856479505bde7844263cd77dc2c216dd1e73938fc3acc,c341217f83e1b126b46856479505bde7844263cd77dc2c216dd1e73938fc3acc,true,
random-1000000-00000,random-1000000,CHM13,chr4,47225981,48225981,100,cold-library,cold,default,wasm,,5333.007806000001,1.063707000001159,5331.944099,2,1340288,1340288,0,,2,1340288,true,4,1371529,4,1,0,0,295.79255299998476,4.640177999994194,9.04709400000138,38.87592899997253,9.631747999999789,298.5965179999912,4755.029340999987,332.7693969999964,62,37018,11787,f44656656d20efe4f8bf2f99ea7e75f3272150cfe3752dd2f1a45e5ad3d4f42e,f44656656d20efe4f8bf2f99ea7e75f3272150cfe3752dd2f1a45e5ad3d4f42e,true,
random-1000000-00001,random-1000000,CHM13,chr19,30828207,31828207,100,cold-library,cold,default,wasm,,7674.516011,1.1365900000018883,7673.379420999998,2,1623801,1623801,0,,2,1623801,true,4,1655042,4,1,0,0,399.7935759999964,6.32021800000075,12.40944799999852,48.736381000046094,13.089214999999967,403.5657010000068,6875.793451000005,468.0999379999994,62,49488,13457,3c9166288a580802eaa51d148f5e3635e7731fbd7bd40a3fa65f9d8e6832bc81,3c9166288a580802eaa51d148f5e3635e7731fbd7bd40a3fa65f9d8e6832bc81,true,
random-1000000-00002,random-1000000,CHM13,chr12,9446975,10446975,100,cold-library,cold,default,wasm,,7046.683112999999,6.621712000000116,7040.061400999999,2,1570680,1570680,0,,2,1570680,true,4,1601921,4,1,0,0,347.9673939999702,5.637954999998328,10.219182000000728,38.78730300001189,10.83832099999563,350.6090529999783,6300.564944999998,429.45222300000023,62,45723,12840,2af310bf8c861bbf12cef8f265b70ab88d3bbcd0baa03829b60aa9d27dd5aae7,2af310bf8c861bbf12cef8f265b70ab88d3bbcd0baa03829b60aa9d27dd5aae7,true,
random-1000000-00003,random-1000000,CHM13,chrX,73475179,74475179,100,cold-library,cold,default,wasm,,3517.1687160000074,0.9505120000030729,3516.2182040000043,2,1131720,1131720,0,,2,1131720,true,4,1162961,4,1,0,0,280.4207169999718,4.658565999998245,8.223141999995278,28.55400499998359,8.639377999999851,282.54109500001505,3050.1279680000152,260.570464000004,62,31081,9075,1547b964e274ffeff5c9afd7db0addd9ded8f9fd13a2514db36b7c5b1d052ee3,1547b964e274ffeff5c9afd7db0addd9ded8f9fd13a2514db36b7c5b1d052ee3,true,
random-1000000-00004,random-1000000,CHM13,chr1,206658133,207658133,100,cold-library,cold,default,wasm,,6167.7381190000015,9.882928999999422,6157.855190000002,2,1461198,1461198,0,,2,1461198,true,4,1492439,4,1,0,0,310.3185389999999,4.851739000005182,9.465500999998767,36.71553000000131,10.143911999999546,312.730394000042,5512.642352999974,382.637910999998,62,41494,13817,d9021e6a78ef7f08b1fbd47f45d5346ddea19529ec39942b01ff6d5d9f5c620e,d9021e6a78ef7f08b1fbd47f45d5346ddea19529ec39942b01ff6d5d9f5c620e,true,
random-1000000-00005,random-1000000,GRCh38,chr7,142010681,143010681,100,cold-library,cold,default,wasm,,8066.647312000001,1.5751969999982975,8065.072115000003,2,1656122,1656122,0,,2,1656122,true,4,1687363,4,1,0,0,336.05240900002536,5.275649999995949,10.707443999999668,40.269485999975586,11.732474000004004,339.0346549999522,7237.208526000017,500.35568599999533,62,51311,13081,7ba2755bb8c489c628051fd744c336b8e9aa61780ccb0f550e08b54b253bea60,7ba2755bb8c489c628051fd744c336b8e9aa61780ccb0f550e08b54b253bea60,true,
random-1000000-00006,random-1000000,CHM13,chr7,114386209,115386209,100,cold-library,cold,default,wasm,,5407.189921000012,2.004861000008532,5405.185060000003,2,1318887,1318887,0,,2,1318887,true,4,1350128,4,1,0,0,291.17329699995753,4.439108999999007,8.970811999999569,32.15115600009449,9.534308999995119,294.5166829999944,4844.367388999992,328.61435200000415,62,36396,10710,bd634bd0d5bbbe85f624b83b1026388a887a59b47e04da4e523493185fb709d3,bd634bd0d5bbbe85f624b83b1026388a887a59b47e04da4e523493185fb709d3,true,
random-1000000-00007,random-1000000,GRCh38,chr21,32520437,33520437,100,cold-library,cold,default,wasm,,6652.0897939999995,0.9003879999945639,6651.189406000005,2,1657238,1657238,0,,2,1657238,true,4,1688479,4,1,0,0,385.7049629999383,6.57244499999797,10.601571999999578,40.66783699991356,11.233066999993753,387.8620130000054,5915.913001000037,422.0198870000022,62,46748,15318,7637b2d12d22f489275104dba98f2c0a4919db20e9c7e10d310e5e37b58673a4,7637b2d12d22f489275104dba98f2c0a4919db20e9c7e10d310e5e37b58673a4,true,
random-1000000-00008,random-1000000,CHM13,chr7,26416742,27416742,100,cold-library,cold,default,wasm,,5439.410722999994,15.006039999992936,5424.404683000001,2,1358111,1358111,0,,2,1358111,true,4,1389352,4,1,0,0,283.11397700001544,4.416868999993312,8.660187000001315,35.302373999977135,9.17640900000697,285.0608389999834,4846.494072000016,347.2337359999947,62,37100,12853,0eb602143b94f6e88a4c9783ba11ca6e7be9624c5b94b22beccf6cbfa4c132fd,0eb602143b94f6e88a4c9783ba11ca6e7be9624c5b94b22beccf6cbfa4c132fd,true,
random-1000000-00009,random-1000000,CHM13,chr8,10660690,11660690,100,cold-library,cold,default,wasm,,13187.152101999993,4.466518000001088,13182.685583999992,2,2321292,2321292,0,,2,2321292,true,4,2352533,4,1,0,0,595.5371919999743,9.636175999999978,15.650098999991314,56.649460999964504,16.329719999994268,597.6764469999471,11913.412491000025,785.3118140000006,62,76893,16934,25a72f33a3ae88bc4ff68166471e25b9cafa64ebd2789b68e1f32f7132ac14e0,25a72f33a3ae88bc4ff68166471e25b9cafa64ebd2789b68e1f32f7132ac14e0,true,
fixed-micb,fixed-biological-micb,GRCh38,chr6,31498145,31511124,100,warm-repeated-query,warm,default,wasm,,334.72931699999026,0,334.72931699999026,0,0,0,0,,0,0,true,2,31241,2,1,1,2,0.6742249999952037,0.1838770000031218,0.4903479999920819,0,0.4968619999999646,0.6848650000029011,322.64853500000027,6.440572999999858,2,934,404,1a793dc02db16fdab6f00d1ab14cfaf4f79e1a018ba245bc368ea1e20fb91667,1a793dc02db16fdab6f00d1ab14cfaf4f79e1a018ba245bc368ea1e20fb91667,true,
fixed-kir3dl1,fixed-biological-kir3dl1,GRCh38,chr19,54816468,54830778,100,warm-repeated-query,warm,default,wasm,,823.4355579999974,0,823.4355579999974,0,0,0,0,,0,0,true,2,31241,2,1,1,2,1.7515750000166008,0.7513730000064243,1.0002020000101766,0,1.007277000011527,1.7632400000147754,792.937482999987,17.435633999994025,2,2610,359,87f800179595c131080670121ba169cb90658eaec261939abfe2cb0bfc756f1b,87f800179595c131080670121ba169cb90658eaec261939abfe2cb0bfc756f1b,true,
