storage_kind,experiment_id,query_id,query_class,sample,contig,start,end,query_size,context,coalescing_gap,physical_reads,mergeable_reads,dependency_rounds,total_bytes_fetched,unique_bytes_fetched,duplicate_bytes_fetched,bootstrap_bytes_fetched,logical_index_bytes,directory_page_bytes_fetched,directory_pages_selected,directory_page_cache_hits,data_bytes_fetched,required_compressed_payload_bytes,canonical_payload_bytes,read_amplification,canonical_amplification,index_lookup_us,decompression_us,decode_us,graph_reconstruction_us,total_local_query_us,selected_chunks,selected_nodes,canonical_hash,correctness,simulated_20ms_ms,simulated_50ms_ms,simulated_100ms_ms
fixed-window,fixed-w16k-zstd-3,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,0,1,0,1,69223,69223,0,0,4269,0,1,0,69223,48135,234740,1.438101,0.294892,15.974000,375.076000,757.578000,2674.242000,4716.237000,7,1312,9e2ee9276a0b85c9bc47c24beb58bbc0aee92b52da4790fa12a2643e9cf0f707,true,22.345947,56.537840,120.459467
fixed-window,fixed-w16k-zstd-3,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,0,2,0,2,1243809,1243809,0,0,12461,12288,3,0,1231521,929087,7831358,1.338743,0.158824,39.842000,7921.172000,36424.439000,174593.877000,269713.774000,62,70787,7f4367c3a3d8d6fd223fa558f2bec6518747bac44abd7d81ca4be803946d46e7,true,74.168240,201.504720,535.682400
fixed-window,fixed-w16k-zstd-3,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,4096,3,0,3,35662,35662,0,16384,4269,4096,1,0,15182,1094,4386,32.597806,8.130871,9.922000,111.215000,400.040000,364.033000,891.646000,1,20,7023756c327dfc42cc748fd0c699aba076a4fdd6e782fc68c4f9317650d78d1f,true,62.450987,155.852960,315.509867
fixed-window,fixed-w16k-zstd-3,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,4096,2,0,2,26101,26101,0,0,4269,4096,1,0,22005,5725,25000,4.559127,1.044040,19.242000,96.021000,197.684000,356.100000,799.466000,2,136,d658476e5ccf5b1f9b5006b0c236ed05cfcd1258a3424f969e23b3f6c32a0c4a,true,41.696027,104.088080,210.960267
fixed-window,fixed-w16k-zstd-3,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,4096,1,0,1,69223,69223,0,0,4269,0,1,0,69223,48135,234740,1.438101,0.294892,15.530000,299.751000,573.173000,2154.456000,3696.721000,7,1312,9e2ee9276a0b85c9bc47c24beb58bbc0aee92b52da4790fa12a2643e9cf0f707,true,22.345947,56.537840,120.459467
fixed-window,fixed-w16k-zstd-3,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,4096,2,0,2,1243809,1243809,0,0,12461,12288,3,0,1231521,929087,7831358,1.338743,0.158824,28.121000,7083.550000,32748.065000,169002.375000,254951.848000,62,70787,7f4367c3a3d8d6fd223fa558f2bec6518747bac44abd7d81ca4be803946d46e7,true,74.168240,201.504720,535.682400
fixed-window,fixed-w16k-zstd-3,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,16384,3,0,3,35662,35662,0,16384,4269,4096,1,0,15182,1094,4386,32.597806,8.130871,6.580000,76.311000,270.058000,259.464000,618.490000,1,20,7023756c327dfc42cc748fd0c699aba076a4fdd6e782fc68c4f9317650d78d1f,true,62.450987,155.852960,315.509867
fixed-window,fixed-w16k-zstd-3,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,16384,2,0,2,26101,26101,0,0,4269,4096,1,0,22005,5725,25000,4.559127,1.044040,16.253000,95.483000,200.559000,352.184000,790.152000,2,136,d658476e5ccf5b1f9b5006b0c236ed05cfcd1258a3424f969e23b3f6c32a0c4a,true,41.696027,104.088080,210.960267
fixed-window,fixed-w16k-zstd-3,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,16384,1,0,1,69223,69223,0,0,4269,0,1,0,69223,48135,234740,1.438101,0.294892,15.611000,303.658000,568.500000,2209.292000,3751.587000,7,1312,9e2ee9276a0b85c9bc47c24beb58bbc0aee92b52da4790fa12a2643e9cf0f707,true,22.345947,56.537840,120.459467
fixed-window,fixed-w16k-zstd-3,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,16384,2,0,2,1243809,1243809,0,0,12461,12288,3,0,1231521,929087,7831358,1.338743,0.158824,30.423000,7024.728000,32422.961000,167476.753000,253604.373000,62,70787,7f4367c3a3d8d6fd223fa558f2bec6518747bac44abd7d81ca4be803946d46e7,true,74.168240,201.504720,535.682400
fixed-window,fixed-w16k-zstd-3,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,65536,3,0,3,35662,35662,0,16384,4269,4096,1,0,15182,1094,4386,32.597806,8.130871,8.458000,85.854000,287.712000,266.280000,653.456000,1,20,7023756c327dfc42cc748fd0c699aba076a4fdd6e782fc68c4f9317650d78d1f,true,62.450987,155.852960,315.509867
fixed-window,fixed-w16k-zstd-3,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,65536,2,0,2,26101,26101,0,0,4269,4096,1,0,22005,5725,25000,4.559127,1.044040,21.217000,96.425000,206.416000,373.245000,824.862000,2,136,d658476e5ccf5b1f9b5006b0c236ed05cfcd1258a3424f969e23b3f6c32a0c4a,true,41.696027,104.088080,210.960267
fixed-window,fixed-w16k-zstd-3,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,65536,1,0,1,69223,69223,0,0,4269,0,1,0,69223,48135,234740,1.438101,0.294892,18.617000,305.969000,681.659000,3277.894000,5045.861000,7,1312,9e2ee9276a0b85c9bc47c24beb58bbc0aee92b52da4790fa12a2643e9cf0f707,true,22.345947,56.537840,120.459467
fixed-window,fixed-w16k-zstd-3,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,65536,2,0,2,1243809,1243809,0,0,12461,12288,3,0,1231521,929087,7831358,1.338743,0.158824,58.604000,7466.322000,32640.720000,183505.497000,272658.266000,62,70787,7f4367c3a3d8d6fd223fa558f2bec6518747bac44abd7d81ca4be803946d46e7,true,74.168240,201.504720,535.682400
fixed-window,fixed-w16k-zstd-3,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,262144,3,0,3,35662,35662,0,16384,4269,4096,1,0,15182,1094,4386,32.597806,8.130871,7.130000,75.186000,272.250000,251.986000,611.384000,1,20,7023756c327dfc42cc748fd0c699aba076a4fdd6e782fc68c4f9317650d78d1f,true,62.450987,155.852960,315.509867
fixed-window,fixed-w16k-zstd-3,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,262144,2,0,2,26101,26101,0,0,4269,4096,1,0,22005,5725,25000,4.559127,1.044040,18.195000,97.467000,213.686000,425.390000,903.406000,2,136,d658476e5ccf5b1f9b5006b0c236ed05cfcd1258a3424f969e23b3f6c32a0c4a,true,41.696027,104.088080,210.960267
fixed-window,fixed-w16k-zstd-3,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,262144,1,0,1,69223,69223,0,0,4269,0,1,0,69223,48135,234740,1.438101,0.294892,17.780000,308.709000,579.959000,2213.561000,3782.931000,7,1312,9e2ee9276a0b85c9bc47c24beb58bbc0aee92b52da4790fa12a2643e9cf0f707,true,22.345947,56.537840,120.459467
fixed-window,fixed-w16k-zstd-3,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,262144,2,0,2,1243809,1243809,0,0,12461,12288,3,0,1231521,929087,7831358,1.338743,0.158824,33.529000,6858.435000,31627.566000,166379.557000,250124.641000,62,70787,7f4367c3a3d8d6fd223fa558f2bec6518747bac44abd7d81ca4be803946d46e7,true,74.168240,201.504720,535.682400
fixed-window,fixed-w16k-zstd-3,random-1000-00000,random-1000,MHC-GRCh38,MHC,2654244,2655244,1000,100,1048576,3,0,3,35662,35662,0,16384,4269,4096,1,0,15182,1094,4386,32.597806,8.130871,7.036000,75.558000,265.337000,254.535000,607.053000,1,20,7023756c327dfc42cc748fd0c699aba076a4fdd6e782fc68c4f9317650d78d1f,true,62.450987,155.852960,315.509867
fixed-window,fixed-w16k-zstd-3,random-10000-00000,random-10000,MHC-GRCh38,MHC,2402513,2412513,10000,100,1048576,2,0,2,26101,26101,0,0,4269,4096,1,0,22005,5725,25000,4.559127,1.044040,17.544000,95.485000,194.570000,351.499000,782.063000,2,136,d658476e5ccf5b1f9b5006b0c236ed05cfcd1258a3424f969e23b3f6c32a0c4a,true,41.696027,104.088080,210.960267
fixed-window,fixed-w16k-zstd-3,random-100000-00000,random-100000,MHC-GRCh38,MHC,1079326,1179326,100000,100,1048576,1,0,1,69223,69223,0,0,4269,0,1,0,69223,48135,234740,1.438101,0.294892,15.697000,301.249000,567.232000,2421.299000,3955.447000,7,1312,9e2ee9276a0b85c9bc47c24beb58bbc0aee92b52da4790fa12a2643e9cf0f707,true,22.345947,56.537840,120.459467
fixed-window,fixed-w16k-zstd-3,random-1000000-00000,random-1000000,MHC-GRCh38,MHC,3478310,4478310,1000000,100,1048576,2,0,2,1243809,1243809,0,0,12461,12288,3,0,1231521,929087,7831358,1.338743,0.158824,43.500000,7036.337000,32054.470000,168741.804000,253806.828000,62,70787,7f4367c3a3d8d6fd223fa558f2bec6518747bac44abd7d81ca4be803946d46e7,true,74.168240,201.504720,535.682400
